year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1994,abbotji01,Jim Abbott,26,NYY,AL,9,8,.529,4.55,24,24,0,2,0,0,160.1,167,88,81,24,64,1,90,2,1,8,692,101,5.19,1.441,9.4,1.3,3.6,5.1,1.41
1994,acrema01,Mark Acre,25,OAK,AL,5,1,.833,3.41,34,0,6,0,0,0,34.1,24,13,13,4,23,3,21,1,0,1,147,131,5.52,1.369,6.3,1.0,6.0,5.5,0.91
1994,aguilri01,Rick Aguilera,32,MIN,AL,1,4,.200,3.63,44,0,40,0,0,23,44.2,57,23,18,7,10,3,46,0,0,2,201,135,3.78,1.500,11.5,1.4,2.0,9.3,4.60
1994,alvarwi01,Wilson Alvarez,24,CHW,AL,12,8,.600,3.45,24,24,0,2,1,0,161.2,147,72,62,16,62,1,108,0,0,3,682,135,4.23,1.293,8.2,0.9,3.5,6.0,1.74
1994,anderla02,Larry Andersen,41,PHI,NL,1,2,.333,4.41,29,0,11,0,0,0,32.2,33,20,16,2,15,3,27,0,0,0,147,99,3.65,1.469,9.1,0.6,4.1,7.4,1.80
1994,anderbr02,Brian Anderson,22,CAL,AL,7,5,.583,5.22,18,18,0,0,0,0,101.2,120,63,59,13,27,0,47,5,5,5,441,93,4.81,1.446,10.6,1.2,2.4,4.2,1.74
1994,appieke01,Kevin Appier,26,KCR,AL,7,6,.538,3.83,23,23,0,1,0,0,155.0,137,68,66,11,63,7,145,4,1,11,653,131,3.48,1.290,8.0,0.6,3.7,8.4,2.30
1994,aquinlu01,Luis Aquino,30,FLA,NL,2,1,.667,3.73,29,1,3,0,0,0,50.2,39,22,21,3,22,4,22,3,0,2,214,117,4.51,1.204,6.9,0.5,3.9,3.9,1.00
1994,armstja01,Jack Armstrong,29,TEX,AL,0,1,.000,3.60,2,2,0,0,0,0,10.0,9,4,4,3,2,0,7,0,0,1,41,138,6.23,1.100,8.1,2.7,1.8,6.3,3.50
1994,arochre01,Rene Arocha,30,STL,NL,4,4,.500,4.01,45,7,25,1,1,11,83.0,94,42,37,9,21,4,62,4,0,2,360,104,3.95,1.386,10.2,1.0,2.3,6.7,2.95
1994,ashbyan01,Andy Ashby,26,SDP,NL,6,11,.353,3.40,24,24,0,4,0,0,164.1,145,75,62,16,43,12,121,3,0,5,682,122,3.76,1.144,7.9,0.9,2.4,6.6,2.81
1994,assenpa01,Paul Assenmacher,33,CHW,AL,1,2,.333,3.55,44,0,11,0,0,1,33.0,26,13,13,2,13,2,29,1,0,1,134,133,3.43,1.182,7.1,0.5,3.5,7.9,2.23
1994,astacpe01,Pedro Astacio,25,LAD,NL,6,8,.429,4.29,23,23,0,3,1,0,149.0,142,77,71,18,47,4,108,4,0,4,625,92,4.28,1.268,8.6,1.1,2.8,6.5,2.30
1994,ausanjo01,Joe Ausanio,28,NYY,AL,2,1,.667,5.17,13,0,5,0,0,0,15.2,16,9,9,3,6,0,15,0,0,0,69,90,4.85,1.404,9.2,1.7,3.4,8.6,2.50
1994,averyst01,Steve Avery,24,ATL,NL,8,3,.727,4.04,24,24,0,1,0,0,151.2,127,71,68,15,55,4,122,4,2,5,628,105,3.97,1.200,7.5,0.9,3.3,7.2,2.22
1994,ayalabo01,Bobby Ayala,24,SEA,AL,4,3,.571,2.86,46,0,40,0,0,18,56.2,42,25,18,2,26,0,76,0,0,2,236,171,2.28,1.200,6.7,0.3,4.1,12.1,2.92
1994,baileco01,Cory Bailey,23,BOS,AL,0,1,.000,12.46,5,0,2,0,0,0,4.1,10,6,6,2,3,1,4,0,0,0,24,43,9.36,3.000,20.8,4.2,6.2,8.3,1.33
1994,ballaje01,Jeff Ballard,30,PIT,NL,1,1,.500,6.66,28,0,11,0,0,2,24.1,32,19,18,5,10,3,11,1,0,1,112,66,6.25,1.726,11.8,1.8,3.7,4.1,1.10
1994,bankhsc01,Scott Bankhead,30,BOS,AL,3,2,.600,4.54,27,0,3,0,0,0,37.2,34,21,19,5,12,3,25,0,0,7,156,111,4.48,1.221,8.1,1.2,2.9,6.0,2.08
1994,bankswi01,Willie Banks,25,CHC,NL,8,12,.400,5.40,23,23,0,1,1,0,138.1,139,88,83,16,56,3,91,2,1,8,598,78,4.58,1.410,9.0,1.0,3.6,5.9,1.63
