year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1991,abbotpa01,Paul Abbott,23,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1991,abnersh01,Shawn Abner,25,TOT,MLB,94,230,216,27,42,10,2,3,14,1,2,11,43,.194,.236,.301,.537,49,65,6,1,1,1,4,89/D
1991,abnersh01,Shawn Abner,25,SDP,NL,53,125,115,15,19,4,1,1,5,0,0,7,25,.165,.218,.243,.461,28,28,3,1,1,1,4,8/9
1991,abnersh01,Shawn Abner,25,CAL,AL,41,105,101,12,23,6,1,2,9,1,2,4,18,.228,.257,.366,.623,72,37,3,0,0,0,0,8/9D
1991,afenitr01,Troy Afenir,27,OAK,AL,5,11,11,0,1,0,0,0,0,0,0,0,2,.091,.091,.091,.182,-48,1,1,0,0,0,0,/2D
1991,agostju01,Juan Agosto,33,STL,NL,72,4,3,0,1,0,0,0,0,0,0,1,2,.333,.500,.333,.833,140,1,0,0,0,0,0,1
1991,aguilri01,Rick Aguilera,29,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1991,akerfda01,Darrel Akerfelds,29,PHI,NL,30,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
1991,aldremi01,Mike Aldrete,30,TOT,MLB,97,240,198,24,48,6,1,1,20,1,3,39,41,.242,.364,.298,.662,86,59,1,0,1,2,1,37/D
1991,aldremi01,Mike Aldrete,30,SDP,NL,12,18,15,2,0,0,0,0,1,0,1,3,4,.000,.167,.000,.167,-49,0,1,0,0,0,0,/7
1991,aldremi01,Mike Aldrete,30,CLE,AL,85,222,183,22,48,6,1,1,19,1,2,36,37,.262,.380,.322,.702,96,59,0,0,1,2,1,37/D
1991,alicelu01,Luis Alicea,25,STL,NL,56,76,68,5,13,3,0,0,0,0,1,8,19,.191,.276,.235,.512,46,16,0,0,0,0,0,4/56
1991,allanan01,Andy Allanson,29,DET,AL,60,160,151,10,35,10,0,1,16,0,1,7,31,.232,.266,.318,.584,60,48,3,0,2,0,0,2/3D
1991,allisda01,Dana Allison,24,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1991,allrebe01,Beau Allred,26,CLE,AL,48,156,125,17,29,3,0,3,12,2,2,25,35,.232,.359,.328,.687,92,41,1,1,3,2,2,97/D
1991,alomaro01,Roberto Alomar,23,TOR,AL,161,719,637,88,188,41,11,9,69,53,11,57,86,.295,.354,.436,.791,115,278,5,4,16,5,3,*4
1991,alomasa02,Sandy Alomar,25,CLE,AL,51,199,184,10,40,9,0,0,7,0,4,8,24,.217,.264,.266,.530,47,49,4,4,2,1,1,2/D
