year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1982,aasedo01,Don Aase,27,CAL,AL,3,3,.500,3.46,24,0,18,0,0,4,52.0,45,20,20,5,23,2,40,0,0,2,212,118,3.76,1.308,7.8,0.9,4.0,6.9,1.74
1982,agostju01,Juan Agosto,24,CHW,AL,0,0,,18.00,1,0,1,0,0,0,2.0,7,4,4,0,0,0,1,0,0,0,13,27,1.72,3.500,31.5,0.0,0.0,4.5,
1982,alexado01,Doyle Alexander,31,NYY,AL,1,7,.125,6.08,16,11,3,0,0,0,66.2,81,52,45,14,14,2,26,0,4,1,293,66,5.30,1.425,10.9,1.9,1.9,3.5,1.86
1982,allenne01,Neil Allen,24,NYM,NL,3,7,.300,3.06,50,0,42,0,0,19,64.2,65,22,22,5,30,5,59,1,0,4,279,120,3.34,1.469,9.0,0.7,4.2,8.2,1.97
1982,altampo01,Porfi Altamirano,30,PHI,NL,5,1,.833,4.15,29,0,14,0,0,2,39.0,41,19,18,2,14,3,26,1,0,1,169,90,3.20,1.410,9.5,0.5,3.2,6.0,1.86
1982,alvarjo01,Jose Alvarez,26,ATL,NL,0,0,,4.70,7,0,2,0,0,0,7.2,8,4,4,1,2,1,6,0,0,1,29,84,3.63,1.304,9.4,1.2,2.3,7.0,3.00
1982,anderla02,Larry Andersen,29,SEA,AL,0,0,,5.99,40,1,14,0,0,1,79.2,100,56,53,16,23,1,32,4,0,2,354,71,5.54,1.544,11.3,1.8,2.6,3.6,1.39
1982,anderbu01,Bud Anderson,26,CLE,AL,3,4,.429,3.35,25,5,12,1,0,0,80.2,84,37,30,4,30,2,44,1,0,4,353,124,3.42,1.413,9.4,0.4,3.3,4.9,1.47
1982,andujjo01,Joaquin Andujar,29,STL,NL,15,10,.600,2.47,38,37,1,9,5,0,265.2,237,85,73,11,50,7,137,7,2,3,1056,148,2.87,1.080,8.0,0.4,1.7,4.6,2.74
1982,apontlu01,Luis Aponte,29,BOS,AL,2,2,.500,3.18,40,0,28,0,0,3,85.0,78,31,30,5,25,3,44,0,2,1,349,137,3.33,1.212,8.3,0.5,2.6,4.7,1.76
1982,armstmi01,Mike Armstrong,28,KCR,AL,5,5,.500,3.20,52,0,25,0,0,6,112.2,88,45,40,9,43,4,75,3,1,7,466,128,3.65,1.163,7.0,0.7,3.4,6.0,1.74
1982,arroyfe01,Fernando Arroyo,30,TOT,AL,0,1,.000,5.25,16,0,8,0,0,0,36.0,40,22,21,6,13,1,13,1,0,4,155,78,5.33,1.472,10.0,1.5,3.3,3.3,1.00
1982,arroyfe01,Fernando Arroyo,30,MIN,AL,0,1,.000,5.27,6,0,2,0,0,0,13.2,17,8,8,2,6,1,4,0,0,1,61,83,5.35,1.683,11.2,1.3,4.0,2.6,0.67
1982,arroyfe01,Fernando Arroyo,30,OAK,AL,0,0,,5.24,10,0,6,0,0,0,22.1,23,14,13,4,7,0,9,1,0,3,94,75,5.31,1.343,9.3,1.6,2.8,3.6,1.29
1982,augusje01,Jerry Augustine,29,MIL,AL,1,3,.250,5.08,20,2,9,1,0,0,62.0,63,43,35,13,26,2,22,2,0,3,270,75,6.09,1.435,9.1,1.9,3.8,3.2,0.85
1982,bahnsst01,Stan Bahnsen,37,TOT,MLB,0,1,.000,2.74,15,0,0,0,0,0,23.0,21,8,7,0,11,2,14,0,0,0,98,145,2.93,1.391,8.2,0.0,4.3,5.5,1.27
1982,bahnsst01,Stan Bahnsen,37,CAL,AL,0,1,.000,4.66,7,0,0,0,0,0,9.2,13,6,5,0,8,1,5,0,0,0,50,90,4.17,2.172,12.1,0.0,7.4,4.7,0.63
1982,bahnsst01,Stan Bahnsen,37,PHI,NL,0,0,,1.35,8,0,0,0,0,0,13.1,8,2,2,0,3,1,9,0,0,0,48,281,2.04,0.825,5.4,0.0,2.0,6.1,3.00
1982,baileho01,Howard Bailey,24,DET,AL,0,0,,0.00,8,0,5,0,0,1,10.0,6,0,0,0,2,1,3,0,0,0,37,,2.72,0.800,5.4,0.0,1.8,2.7,1.50
1982,bairdo01,Doug Bair,32,STL,NL,5,3,.625,2.55,63,0,33,0,0,8,91.2,69,27,26,7,36,13,68,1,0,2,372,143,3.44,1.145,6.8,0.7,3.5,6.7,1.89
1982,bakerst01,Steve Baker,25,OAK,AL,1,1,.500,4.56,5,3,2,0,0,0,25.2,30,14,13,3,4,0,14,0,0,0,110,85,3.61,1.325,10.5,1.1,1.4,4.9,3.50
1982,balleja01,Jay Baller,21,PHI,NL,0,0,,3.38,4,1,1,0,0,0,8.0,7,4,3,1,2,0,7,1,1,0,35,115,3.72,1.125,7.9,1.1,2.3,7.9,3.50
1982,bannifl01,Floyd Bannister,27,SEA,AL,12,13,.480,3.43,35,35,0,5,3,0,247.0,225,112,94,32,77,0,209,3,0,6,1022,124,3.68,1.223,8.2,1.2,2.8,7.6,2.71
1982,barkele01,Len Barker,26,CLE,AL,15,11,.577,3.90,33,33,0,10,1,0,244.2,211,117,106,17,88,2,187,3,0,10,1021,106,3.21,1.222,7.8,0.6,3.2,6.9,2.13
1982,barneri01,Rich Barnes,22,CHW,AL,0,2,.000,4.76,6,2,4,0,0,1,17.0,21,15,9,1,4,0,6,2,0,0,79,87,3.83,1.471,11.1,0.5,2.1,3.2,1.50
1982,barojsa01,Salome Barojas,25,CHW,AL,6,6,.500,3.54,61,0,42,0,0,21,106.2,96,43,42,9,46,6,56,1,5,4,446,114,4.09,1.331,8.1,0.8,3.9,4.7,1.22
1982,barrji01,Jim Barr,34,SFG,NL,4,3,.571,3.29,53,9,9,1,1,2,128.2,125,54,47,9,20,5,36,4,1,1,520,109,3.63,1.127,8.7,0.6,1.4,2.5,1.80
1982,baumgro01,Ross Baumgarten,27,PIT,NL,0,5,.000,6.55,12,10,1,0,0,0,44.0,60,33,32,3,27,1,17,0,1,4,208,58,4.67,1.977,12.3,0.6,5.5,3.5,0.63
1982,beardda01,Dave Beard,22,OAK,AL,10,9,.526,3.44,54,2,39,0,0,11,91.2,85,41,35,9,35,6,73,1,0,4,397,112,3.58,1.309,8.3,0.9,3.4,7.2,2.09
1982,beattji01,Jim Beattie,27,SEA,AL,8,12,.400,3.34,28,26,1,6,1,0,172.1,149,73,64,13,65,0,140,1,2,5,715,127,3.22,1.242,7.8,0.7,3.4,7.3,2.15
1982,beckwjo01,Joe Beckwith,27,LAD,NL,2,1,.667,2.70,19,1,5,0,0,1,40.0,38,14,12,2,14,5,33,0,0,0,170,131,2.77,1.300,8.6,0.5,3.2,7.4,2.36
1982,bedrost01,Steve Bedrosian,24,ATL,NL,8,6,.571,2.42,64,3,30,0,0,11,137.2,102,39,37,7,57,5,123,4,0,0,567,156,2.92,1.155,6.7,0.5,3.7,8.0,2.16
1982,berenju01,Juan Berenguer,27,DET,AL,0,0,,6.75,2,1,0,0,0,0,6.2,5,5,5,0,9,1,8,0,0,0,34,63,4.37,2.100,6.8,0.0,12.2,10.8,0.89
1982,berenbr01,Bruce Berenyi,27,CIN,NL,9,18,.333,3.36,34,34,0,4,1,0,222.1,208,90,83,8,96,5,157,2,3,16,938,110,3.09,1.367,8.4,0.3,3.9,6.4,1.64
1982,bernadw01,Dwight Bernard,30,MIL,AL,3,1,.750,3.76,47,0,19,0,0,6,79.0,78,39,33,4,27,0,45,1,0,1,335,102,3.30,1.329,8.9,0.5,3.1,5.1,1.67
1982,birddo01,Doug Bird,32,CHC,NL,9,14,.391,5.14,35,33,1,2,1,0,191.0,230,119,109,26,30,3,71,3,0,1,819,73,4.26,1.361,10.8,1.2,1.4,3.3,2.37
1982,blackbu02,Bud Black,25,KCR,AL,4,6,.400,4.58,22,14,2,0,0,0,88.1,92,48,45,10,34,6,40,3,7,4,386,89,4.54,1.426,9.4,1.0,3.5,4.1,1.18
1982,bluevi01,Vida Blue,32,KCR,AL,13,12,.520,3.78,31,31,0,6,2,0,181.0,163,80,76,20,80,3,103,0,0,4,773,108,4.34,1.343,8.1,1.0,4.0,5.1,1.29
1982,blylebe01,Bert Blyleven,31,CLE,AL,2,2,.500,4.87,4,4,0,0,0,0,20.1,16,14,11,2,11,0,19,0,0,0,89,86,3.75,1.328,7.1,0.9,4.9,8.4,1.73
1982,boddimi01,Mike Boddicker,24,BAL,AL,1,0,1.000,3.51,7,0,4,0,0,0,25.2,25,10,10,2,12,2,20,0,0,0,110,117,3.57,1.442,8.8,0.7,4.2,7.0,1.67
1982,boggsto01,Tommy Boggs,26,ATL,NL,2,2,.500,3.30,10,10,0,0,0,0,46.1,43,22,17,2,22,1,29,2,0,2,197,115,3.58,1.403,8.4,0.4,4.3,5.6,1.32
1982,bohnejo01,John Bohnet,21,CLE,AL,0,0,,6.94,3,3,0,0,0,0,11.2,11,9,9,4,7,0,4,1,0,0,53,61,8.55,1.543,8.5,3.1,5.4,3.1,0.57
1982,boitada01,Dan Boitano,29,TEX,AL,0,0,,5.34,19,0,10,0,0,0,30.1,33,19,18,5,13,2,28,2,0,4,136,74,4.50,1.516,9.8,1.5,3.9,8.3,2.15
1982,bombama01,Mark Bomback,29,TOR,AL,1,5,.167,6.03,16,8,3,0,0,0,59.2,87,44,40,10,25,0,22,3,0,3,287,75,5.57,1.877,13.1,1.5,3.8,3.3,0.88
1982,booneda02,Danny Boone,28,TOT,NL,1,1,.500,4.71,20,0,8,0,0,2,28.2,28,16,15,3,7,1,12,0,0,1,116,74,3.97,1.221,8.8,0.9,2.2,3.8,1.71
1982,booneda02,Danny Boone,28,SDP,NL,1,0,1.000,5.63,10,0,4,0,0,1,16.0,21,10,10,2,3,0,8,0,0,0,69,63,3.90,1.500,11.8,1.1,1.7,4.5,2.67
1982,booneda02,Danny Boone,28,HOU,NL,0,1,.000,3.55,10,0,4,0,0,1,12.2,7,6,5,1,4,1,4,0,0,1,47,97,4.06,0.868,5.0,0.7,2.8,2.8,1.00
1982,bordiri01,Rich Bordi,23,SEA,AL,0,2,.000,8.31,7,2,2,0,0,0,13.0,18,12,12,4,1,0,10,1,0,0,60,53,5.64,1.462,12.5,2.8,0.7,6.9,10.00
1982,borispa01,Paul Boris,26,MIN,AL,1,2,.333,3.99,23,0,12,0,0,0,49.2,46,24,22,8,19,3,30,2,0,2,215,107,4.87,1.309,8.3,1.4,3.4,5.4,1.58
1982,botelde01,Derek Botelho,25,KCR,AL,2,1,.667,4.13,8,4,3,0,0,0,24.0,25,11,11,4,8,0,12,0,0,1,100,101,4.88,1.375,9.4,1.5,3.0,4.5,1.50
1982,boydoi01,Oil Can Boyd,22,BOS,AL,0,1,.000,5.40,3,1,0,0,0,0,8.1,11,5,5,2,2,0,2,0,0,1,37,84,6.08,1.560,11.9,2.2,2.2,2.2,1.00
1982,breinfr01,Fred Breining,26,SFG,NL,11,6,.647,3.08,54,9,16,2,0,0,143.1,146,61,49,6,52,10,98,1,1,1,613,116,3.00,1.381,9.2,0.4,3.3,6.2,1.88
1982,brennto01,Tom Brennan,29,CLE,AL,4,2,.667,4.27,30,4,14,0,0,2,92.2,112,51,44,9,10,1,46,2,1,2,393,97,3.38,1.317,10.9,0.9,1.0,4.5,4.60
1982,brownmi01,Mike Brown,23,BOS,AL,1,0,1.000,0.00,3,0,3,0,0,0,6.0,7,0,0,0,1,0,4,0,0,0,24,,1.88,1.333,10.5,0.0,1.5,6.0,4.00
1982,brusswa01,Warren Brusstar,30,TOT,MLB,4,3,.571,4.17,32,0,18,0,0,2,41.0,50,19,19,4,8,3,19,2,0,2,180,94,3.79,1.415,11.0,0.9,1.8,4.2,2.38
1982,brusswa01,Warren Brusstar,30,PHI,NL,2,3,.400,4.76,22,0,16,0,0,2,22.2,31,12,12,2,5,3,11,1,0,1,102,79,3.69,1.588,12.3,0.8,2.0,4.4,2.20
1982,brusswa01,Warren Brusstar,30,CHW,AL,2,0,1.000,3.44,10,0,2,0,0,0,18.1,19,7,7,2,3,0,8,1,0,1,78,120,3.92,1.200,9.3,1.0,1.5,3.9,2.67
1982,burgmto01,Tom Burgmeier,38,BOS,AL,7,0,1.000,2.29,40,0,17,0,0,2,102.1,98,30,26,6,22,7,44,2,1,1,413,190,3.32,1.173,8.6,0.5,1.9,3.9,2.00
1982,burnsbr01,Britt Burns,23,CHW,AL,13,5,.722,4.04,28,28,0,5,1,0,169.1,168,89,76,12,67,1,116,3,1,2,736,100,3.51,1.388,8.9,0.6,3.6,6.2,1.73
1982,burrira01,Ray Burris,31,MON,NL,4,14,.222,4.73,37,15,9,2,0,2,123.2,143,77,65,14,53,7,55,2,0,3,550,77,4.63,1.585,10.4,1.0,3.9,4.0,1.04
1982,butchjo01,John Butcher,25,TEX,AL,1,5,.167,4.87,18,13,3,2,0,1,94.1,102,53,51,10,34,4,39,2,0,0,406,80,4.41,1.442,9.7,1.0,3.2,3.7,1.15
1982,bystrma01,Marty Bystrom,23,PHI,NL,5,6,.455,4.85,19,16,0,1,0,0,89.0,93,53,48,2,35,4,50,5,1,3,387,76,3.23,1.438,9.4,0.2,3.5,5.1,1.43
1982,caldwmi01,Mike Caldwell,33,MIL,AL,17,13,.567,3.91,35,34,0,12,3,0,258.0,269,119,112,30,58,3,75,0,1,9,1064,97,4.32,1.267,9.4,1.0,2.0,2.6,1.29
1982,campri01,Rick Camp,29,ATL,NL,11,13,.458,3.65,51,21,20,3,0,5,177.1,199,84,72,18,52,8,68,1,1,7,761,103,4.17,1.415,10.1,0.9,2.6,3.5,1.31
1982,campbbi02,Bill Campbell,33,CHC,NL,3,6,.333,3.69,62,0,39,0,0,8,100.0,89,44,41,6,40,13,71,0,1,3,421,101,3.28,1.290,8.0,0.5,3.6,6.4,1.78
1982,candejo01,John Candelaria,28,PIT,NL,12,7,.632,2.94,31,30,1,1,1,1,174.2,166,62,57,13,37,3,133,4,0,1,704,128,2.87,1.162,8.6,0.7,1.9,6.9,3.59
