year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1980,aasedo01,Don Aase,25,CAL,AL,8,13,.381,4.06,40,21,6,5,1,2,175.0,193,83,79,13,66,3,74,1,1,2,761,97,4.02,1.480,9.9,0.7,3.4,3.8,1.12
1980,abbotgl01,Glenn Abbott,29,SEA,AL,12,12,.500,4.10,31,31,0,7,2,0,215.0,228,110,98,27,49,4,78,3,1,1,903,101,4.38,1.288,9.5,1.1,2.1,3.3,1.59
1980,alexado01,Doyle Alexander,29,ATL,NL,14,11,.560,4.20,35,35,0,7,1,0,231.2,227,120,108,20,74,5,114,4,0,3,981,89,3.90,1.299,8.8,0.8,2.9,4.4,1.54
1980,allarbr01,Brian Allard,22,TEX,AL,0,1,.000,5.65,5,2,2,0,0,0,14.1,13,13,9,0,10,1,10,1,0,1,67,71,3.66,1.605,8.2,0.0,6.3,6.3,1.00
1980,allenne01,Neil Allen,22,NYM,NL,7,10,.412,3.70,59,0,47,0,0,22,97.1,87,43,40,7,40,9,79,0,1,2,407,96,3.30,1.305,8.0,0.6,3.7,7.3,1.98
1980,anderri01,Rick Anderson,26,SEA,AL,0,0,,3.72,5,2,3,0,0,0,9.2,8,5,4,1,10,2,7,0,0,1,46,115,5.75,1.862,7.4,0.9,9.3,6.5,0.70
1980,andujjo01,Joaquin Andujar,27,HOU,NL,3,8,.273,3.91,35,14,5,0,0,2,122.0,132,59,53,8,43,2,75,0,0,2,529,84,3.43,1.434,9.7,0.6,3.2,5.5,1.74
1980,apontlu01,Luis Aponte,27,BOS,AL,0,0,,1.29,4,0,3,0,0,0,7.0,6,1,1,0,2,1,1,0,0,0,28,347,3.32,1.143,7.7,0.0,2.6,1.3,0.50
1980,armstmi01,Mike Armstrong,26,SDP,NL,0,0,,5.65,11,0,4,0,0,0,14.1,16,10,9,3,13,5,14,0,0,0,67,63,6.24,2.023,10.0,1.9,8.2,8.8,1.08
1980,arroyfe01,Fernando Arroyo,28,MIN,AL,6,6,.500,4.68,21,11,4,1,1,0,92.1,97,55,48,7,32,2,27,2,3,4,396,94,4.26,1.397,9.5,0.7,3.1,2.6,0.84
1980,augusje01,Jerry Augustine,27,MIL,AL,4,3,.571,4.52,39,1,17,0,0,2,69.2,83,37,35,5,36,5,22,2,0,3,321,86,4.69,1.708,10.7,0.6,4.7,2.8,0.61
1980,babcobo01,Bob Babcock,30,TEX,AL,1,2,.333,4.63,19,0,8,0,0,0,23.1,20,13,12,3,8,1,15,2,0,1,98,85,4.42,1.200,7.7,1.2,3.1,5.8,1.88
1980,bacsimi01,Mike Bacsik,28,MIN,AL,0,0,,4.30,10,0,9,0,0,0,23.0,26,12,11,1,11,0,9,0,0,0,104,103,3.97,1.609,10.2,0.4,4.3,3.5,0.82
1980,bahnsst01,Stan Bahnsen,35,MON,NL,7,6,.538,3.05,57,0,19,0,0,4,91.1,80,40,31,7,33,4,48,0,0,6,383,118,3.78,1.237,7.9,0.7,3.3,4.7,1.45
1980,bailobo01,Bob Bailor,28,TOR,AL,0,0,,7.71,3,0,2,0,0,0,2.1,4,2,2,0,1,0,0,0,0,0,12,65,4.04,2.143,15.4,0.0,3.9,0.0,0.00
1980,bairdo01,Doug Bair,30,CIN,NL,3,6,.333,4.24,61,0,38,0,0,6,85.0,91,42,40,7,39,10,62,1,0,5,377,86,3.78,1.529,9.6,0.7,4.1,6.6,1.59
1980,bannifl01,Floyd Bannister,25,SEA,AL,9,13,.409,3.47,32,32,0,8,0,0,217.2,200,96,84,24,66,6,155,2,0,7,918,119,3.70,1.222,8.3,1.0,2.7,6.4,2.35
1980,barkele01,Len Barker,24,CLE,AL,19,12,.613,4.17,36,36,0,8,1,0,246.1,237,127,114,17,92,3,187,3,1,14,1052,99,3.29,1.336,8.7,0.6,3.4,6.8,2.03
1980,barlomi01,Mike Barlow,32,TOR,AL,3,1,.750,4.09,40,1,19,0,0,5,55.0,57,29,25,4,21,4,19,2,0,5,237,106,4.26,1.418,9.3,0.7,3.4,3.1,0.90
1980,barrji01,Jim Barr,32,CAL,AL,1,4,.200,5.56,24,7,8,0,0,1,68.0,90,43,42,12,23,2,22,3,0,2,311,71,5.55,1.662,11.9,1.6,3.0,2.9,0.96
1980,barrifr01,Francisco Barrios,27,CHW,AL,1,1,.500,4.96,3,3,0,0,0,0,16.1,21,9,9,4,8,0,2,1,0,0,75,83,7.34,1.776,11.6,2.2,4.4,1.1,0.25
1980,baumgro01,Ross Baumgarten,25,CHW,AL,2,12,.143,3.44,24,23,0,3,1,0,136.0,127,60,52,10,52,0,66,1,2,6,566,118,3.91,1.316,8.4,0.7,3.4,4.4,1.27
1980,beardda01,Dave Beard,20,OAK,AL,0,1,.000,3.38,13,0,9,0,0,1,16.0,12,6,6,0,7,1,12,1,0,0,64,114,2.75,1.188,6.8,0.0,3.9,6.8,1.71
1980,beattji01,Jim Beattie,25,SEA,AL,5,15,.250,4.85,33,29,1,3,0,0,187.1,205,115,101,19,98,9,67,4,2,4,831,85,4.99,1.617,9.8,0.9,4.7,3.2,0.68
1980,beckwjo01,Joe Beckwith,25,LAD,NL,3,3,.500,1.96,38,0,16,0,0,0,59.2,60,17,13,1,23,4,40,1,0,4,258,182,2.84,1.391,9.1,0.2,3.5,6.0,1.74
1980,berenju01,Juan Berenguer,25,NYM,NL,0,1,.000,5.79,6,0,4,0,0,0,9.1,9,9,6,1,10,2,7,0,0,0,46,64,5.86,2.036,8.7,1.0,9.6,6.8,0.70
1980,berenbr01,Bruce Berenyi,25,CIN,NL,2,2,.500,7.81,6,6,0,0,0,0,27.2,34,26,24,1,23,0,19,0,0,3,132,47,4.34,2.060,11.1,0.3,7.5,6.2,0.83
1980,bibbyji01,Jim Bibby,35,PIT,NL,19,6,.760,3.32,35,34,1,6,1,0,238.1,210,95,88,20,88,3,144,6,3,5,985,111,3.82,1.250,7.9,0.8,3.3,5.4,1.64
1980,billija01,Jack Billingham,37,TOT,AL,1,3,.250,10.23,15,4,3,0,0,0,31.2,56,36,36,7,18,1,7,4,0,1,166,42,7.27,2.337,15.9,2.0,5.1,2.0,0.39
1980,billija01,Jack Billingham,37,DET,AL,0,0,,7.36,8,0,3,0,0,0,7.1,11,6,6,1,6,1,3,0,0,0,38,59,6.16,2.318,13.5,1.2,7.4,3.7,0.50
